"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB15696",3,155526315.789474,"188_1_11","380.20802",188.5,"Unique",NA,NA,"Bopindolol","C23H28N2O3","-","M-H_[-1]",651743.044642857
"HMDB15696",3,155526315.789474,"188_1_11","379.20425",181.4,"Unique",379.20272,4.03,"Bopindolol","C23H28N2O3","380.209992772","M-H",1067480.2
"HMDB28687",3,4986562500,"3_10_1","148.04378",28.3,"Multiple",NA,NA,"Alanyl-Glycine","C5H10N2O3","-","M-H_[+3]",20021778.1785714
"HMDB28687",3,4986562500,"3_10_1","145.06189",23.9,"Multiple",145.06187,0.14,"Alanyl-Glycine","C5H10N2O3","146.069142196","M-H",207868449.2
"HMDB28773",3,173207547.169811,"3_6_1","250.07607",24.9,"Multiple",NA,NA,"Cysteinyl-Glutamine","C8H15N3O4S","-","M-H_[+2]",7784515.80357143
"HMDB28773",3,173207547.169811,"3_6_1","248.07191",24.3,"Multiple",248.07105,3.47,"Cysteinyl-Glutamine","C8H15N3O4S","249.078326673","M-H",458973562.5
"HMDB28789",3,173207547.169811,"3_6_1","250.07607",24.9,"Multiple",NA,NA,"Cysteinyl-Gamma-glutamate","C8H15N3O4S","-","M-H_[+2]",7784515.80357143
"HMDB28789",3,173207547.169811,"3_6_1","248.07191",24.3,"Multiple",248.07105,3.47,"Cysteinyl-Gamma-glutamate","C8H15N3O4S","249.078326673","M-H",458973562.5
"HMDB28794",3,173207547.169811,"3_6_1","250.07607",24.9,"Multiple",NA,NA,"Glutaminyl-Cysteine","C8H15N3O4S","-","M-H_[+2]",7784515.80357143
"HMDB28794",3,173207547.169811,"3_6_1","248.07191",24.3,"Multiple",248.07105,3.47,"Glutaminyl-Cysteine","C8H15N3O4S","249.078326673","M-H",458973562.5
"HMDB28890",3,259514563.106796,"196_1_3","283.15884",54.4,"Multiple",NA,NA,"Histidinyl-Lysine","C12H21N5O3","-","M-H_[-1]",248716.517857143
"HMDB28890",3,259514563.106796,"196_1_3","282.15582",54.7,"Multiple",282.15716,4.75,"Histidinyl-Lysine","C12H21N5O3","283.164439563","M-H",2455163.4
"HMDB28953",3,259514563.106796,"196_1_3","283.15884",54.4,"Multiple",NA,NA,"Lysyl-Histidine","C12H21N5O3","-","M-H_[-1]",248716.517857143
"HMDB28953",3,259514563.106796,"196_1_3","282.15582",54.7,"Multiple",282.15716,4.75,"Lysyl-Histidine","C12H21N5O3","283.164439563","M-H",2455163.4
"HMDB28981",3,11266187.0503597,"3_6_1","248.86342",24.3,"Multiple",NA,NA,"Methionyl-Proline","C10H18N2O3S","-","M-H_[+4]",4383635.85714286
"HMDB28981",3,11266187.0503597,"3_6_1","245.09706",28.2,"Multiple",245.09654,2.12,"Methionyl-Proline","C10H18N2O3S","246.103813142","M-H",13217993.5
"HMDB29023",3,11266187.0503597,"3_6_1","248.86342",24.3,"Multiple",NA,NA,"Prolyl-Methionine","C10H18N2O3S","-","M-H_[+4]",4383635.85714286
"HMDB29023",3,11266187.0503597,"3_6_1","245.09706",28.2,"Multiple",245.09654,2.12,"Prolyl-Methionine","C10H18N2O3S","246.103813142","M-H",13217993.5
"HMDB29146",3,173207547.169811,"3_6_1","250.07607",24.9,"Multiple",NA,NA,"Gamma-glutamyl-Cysteine","C8H15N3O4S","-","M-H_[+2]",7784515.80357143
"HMDB29146",3,173207547.169811,"3_6_1","248.07191",24.3,"Multiple",248.07105,3.47,"Gamma-glutamyl-Cysteine","C8H15N3O4S","249.078326673","M-H",458973562.5
"HMDB29168",3,4327039877.30061,"3_10_1","134.03465",23.1,"Multiple",NA,NA,"3-Aminocaproic acid","C6H13NO2","-","M-H_[+4]",5732215.51785714
"HMDB29168",3,4327039877.30061,"3_10_1","132.05827",23.2,"Multiple",NA,NA,"3-Aminocaproic acid","C6H13NO2","-","M-H_[+2]",2290265.11607143
"HMDB29168",3,4327039877.30061,"3_10_1","132.00219",23.1,"Multiple",NA,NA,"3-Aminocaproic acid","C6H13NO2","-","M-H_[+2]",2190368.23214286
"HMDB29168",3,4327039877.30061,"3_10_1","131.04607",24.7,"Multiple",NA,NA,"3-Aminocaproic acid","C6H13NO2","-","M-H_[-1]",34642345.4464286
"HMDB29302",3,16113600,"3_10_3","245.05440",56.6,"Multiple",NA,NA,"1-Phenyl-67-dihydroxy-isochroman","C15H14O3","-","M-H_[+4]",1875789.38392857
"HMDB29302",3,16113600,"3_10_3","241.08637",59.1,"Multiple",241.08702,2.7,"1-Phenyl-67-dihydroxy-isochroman","C15H14O3","242.094294314","M-H",2309406.6
