"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB09083",0,0,"0_3023_1","748.52381",288.4,"Multiple",748.52626,3.27,"PE(18:1(9Z)P-18:1(11Z))","C41H78NO7P","727.551590367","M+Na-2H",55850
"HMDB09084",0,0,"0_3023_1","748.52381",288.4,"Multiple",748.52626,3.27,"PE(18:1(9Z)P-18:1(9Z))","C41H78NO7P","727.551590367","M+Na-2H",55850
"HMDB09089",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(18:2(9Z12Z)16:1(9Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB09091",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:2(9Z12Z)18:1(11Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09092",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:2(9Z12Z)18:1(9Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09114",0,0,"222_1_1","680.50250",23.8,"Multiple",680.5019,0.88,"PE(18:2(9Z12Z)P-16:0)","C39H74NO7P","699.520290239","M-H2O-H",13378401.8
"HMDB09115",0,0,"0_3023_1","748.52381",288.4,"Multiple",748.52626,3.27,"PE(18:2(9Z12Z)P-18:0)","C41H78NO7P","727.551590367","M+Na-2H",55850
"HMDB09121",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(18:3(6Z9Z12Z)16:0)","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB09123",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:3(6Z9Z12Z)18:0)","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09154",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(18:3(9Z12Z15Z)16:0)","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB09156",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:3(9Z12Z15Z)18:0)","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09212",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(18:4(6Z9Z12Z15Z)24:1(15Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09222",0,0,"177_138_1","810.57634",198.1,"Multiple",810.57851,2.68,"PE(20:018:0)","C43H86NO8P","775.609105245","M+Cl",78740.2
"HMDB09241",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:022:5(4Z7Z10Z13Z16Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09242",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:022:5(7Z10Z13Z16Z19Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09243",0,0,"91_6_20","854.54536",267.4,"Multiple",854.54721,2.16,"PE(20:022:6(4Z7Z10Z13Z16Z19Z))","C47H82NO8P","819.577805117","M+Cl",146095.7
"HMDB09273",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:1(11Z)22:4(7Z10Z13Z16Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09274",0,0,"91_6_20","854.54536",267.4,"Multiple",854.54721,2.16,"PE(20:1(11Z)22:5(4Z7Z10Z13Z16Z))","C47H82NO8P","819.577805117","M+Cl",146095.7
"HMDB09275",0,0,"91_6_20","854.54536",267.4,"Multiple",854.54721,2.16,"PE(20:1(11Z)22:5(7Z10Z13Z16Z19Z))","C47H82NO8P","819.577805117","M+Cl",146095.7
"HMDB09281",0,0,"38_158_1","790.54949",212.4,"Multiple",790.55229,3.54,"PE(20:1(11Z)P-18:1(11Z))","C43H82NO7P","755.582890495","M+Cl",112787.9
"HMDB09282",0,0,"38_158_1","790.54949",212.4,"Multiple",790.55229,3.54,"PE(20:1(11Z)P-18:1(9Z))","C43H82NO7P","755.582890495","M+Cl",112787.9
"HMDB09284",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(20:2(11Z14Z)14:1(9Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB09287",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(20:2(11Z14Z)16:1(9Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09306",0,0,"91_6_20","854.54536",267.4,"Multiple",854.54721,2.16,"PE(20:2(11Z14Z)22:4(7Z10Z13Z16Z))","C47H82NO8P","819.577805117","M+Cl",146095.7
"HMDB09312",0,0,"0_3023_1","748.52381",288.4,"Multiple",748.52626,3.27,"PE(20:2(11Z14Z)P-16:0)","C41H78NO7P","727.551590367","M+Na-2H",55850
"HMDB09313",0,0,"38_158_1","790.54949",212.4,"Multiple",790.55229,3.54,"PE(20:2(11Z14Z)P-18:0)","C43H82NO7P","755.582890495","M+Cl",112787.9
"HMDB09316",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(20:3(5Z8Z11Z)14:0)","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB09319",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(20:3(5Z8Z11Z)16:0)","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09338",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:3(5Z8Z11Z)22:2(13Z16Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09344",0,0,"91_6_20","872.61140",266.9,"Multiple",872.61507,4.21,"PE(20:3(5Z8Z11Z)24:1(15Z))","C49H90NO8P","851.640405373","M+Na-2H",232928
"HMDB09349",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(20:3(8Z11Z14Z)14:0)","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB09352",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(20:3(8Z11Z14Z)16:0)","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09371",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:3(8Z11Z14Z)22:2(13Z16Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09377",0,0,"91_6_20","872.61140",266.9,"Multiple",872.61507,4.21,"PE(20:3(8Z11Z14Z)24:1(15Z))","C49H90NO8P","851.640405373","M+Na-2H",232928
"HMDB09403",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:4(5Z8Z11Z14Z)22:1(13Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09404",0,0,"91_6_20","854.54536",267.4,"Multiple",854.54721,2.16,"PE(20:4(5Z8Z11Z14Z)22:2(13Z16Z))","C47H82NO8P","819.577805117","M+Cl",146095.7
"HMDB09408",0,0,"0_3204_1","846.48123",23.9,"Multiple",846.48461,3.99,"PE(20:4(5Z8Z11Z14Z)22:6(4Z7Z10Z13Z16Z19Z))","C47H74NO8P","811.515204861","M+Cl",1135058.7
"HMDB09409",0,0,"91_6_20","872.61140",266.9,"Multiple",872.61507,4.21,"PE(20:4(5Z8Z11Z14Z)24:0)","C49H90NO8P","851.640405373","M+Na-2H",232928
"HMDB09436",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:4(8Z11Z14Z17Z)22:1(13Z))","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09437",0,0,"91_6_20","854.54536",267.4,"Multiple",854.54721,2.16,"PE(20:4(8Z11Z14Z17Z)22:2(13Z16Z))","C47H82NO8P","819.577805117","M+Cl",146095.7
"HMDB09441",0,0,"0_3204_1","846.48123",23.9,"Multiple",846.48461,3.99,"PE(20:4(8Z11Z14Z17Z)22:6(4Z7Z10Z13Z16Z19Z))","C47H74NO8P","811.515204861","M+Cl",1135058.7
"HMDB09442",0,0,"91_6_20","872.61140",266.9,"Multiple",872.61507,4.21,"PE(20:4(8Z11Z14Z17Z)24:0)","C49H90NO8P","851.640405373","M+Na-2H",232928
"HMDB09468",0,0,"48_4_1","842.56598",184.1,"Multiple",842.56812,2.54,"PE(20:5(5Z8Z11Z14Z17Z)22:0)","C47H84NO8P","821.593455181","M+Na-2H",70906.3
"HMDB09469",0,0,"91_6_20","854.54536",267.4,"Multiple",854.54721,2.16,"PE(20:5(5Z8Z11Z14Z17Z)22:1(13Z))","C47H82NO8P","819.577805117","M+Cl",146095.7
"HMDB09472",0,0,"0_3204_1","846.48123",23.9,"Multiple",846.48461,3.99,"PE(20:5(5Z8Z11Z14Z17Z)22:5(4Z7Z10Z13Z16Z))","C47H74NO8P","811.515204861","M+Cl",1135058.7
